name,country,iata,icao,timezone_pytz,state
Casper-Natrona County International Airport,United States,CPR,KCPR,America/Denver,Wyoming
Destin-Ft Walton Beach Airport,United States,VPS,KVPS,America/Chicago,Florida
Key West International Airport,United States,EYW,KEYW,America/New_York,Florida
Charlotte Douglas International Airport,United States,CLT,KCLT,America/New_York,North Carolina
McCarran International Airport,United States,LAS,KLAS,America/Los_Angeles,Nevada
Orlando International Airport,United States,MCO,KMCO,America/New_York,Florida
Florence Regional Airport,United States,FLO,KFLO,America/New_York,South Carolina
Great Falls International Airport,United States,GTF,KGTF,America/Denver,Montana
Youngstown Warren Regional Airport,United States,YNG,KYNG,America/New_York,Ohio
Pullman Moscow Regional Airport,United States,PUW,KPUW,America/Los_Angeles,Washington
Lewiston Nez Perce County Airport,United States,LWS,KLWS,America/Los_Angeles,Idaho
Elmira Corning Regional Airport,United States,ELM,KELM,America/New_York,New York
Ithaca Tompkins Regional Airport,United States,ITH,KITH,America/New_York,New York
Monterey Peninsula Airport,United States,MRY,KMRY,America/Los_Angeles,California
Santa Barbara Municipal Airport,United States,SBA,KSBA,America/Los_Angeles,California
Daytona Beach International Airport,United States,DAB,KDAB,America/New_York,Florida
Tweed New Haven Airport,United States,HVN,KHVN,America/New_York,Connecticut
Asheville Regional Airport,United States,AVL,KAVL,America/New_York,North Carolina
Piedmont Triad International Airport,United States,GSO,KGSO,America/New_York,North Carolina
Joe Foss Field Airport,United States,FSD,KFSD,America/Chicago,South Dakota
Manchester-Boston Regional Airport,United States,MHT,KMHT,America/New_York,New Hampshire
Louisville International Standiford Field,United States,SDF,KSDF,America/New_York,Kentucky
Charlottesville Albemarle Airport,United States,CHO,KCHO,America/New_York,Virginia
Roanoke–Blacksburg Regional Airport,United States,ROA,KROA,America/New_York,Virginia
Blue Grass Airport,United States,LEX,KLEX,America/New_York,Kentucky
Evansville Regional Airport,United States,EVV,KEVV,America/Chicago,Indiana
Albuquerque International Sunport,United States,ABQ,KABQ,America/Denver,New Mexico
Gallatin Field,United States,BZN,KBZN,America/Denver,Montana
Billings Logan International Airport,United States,BIL,KBIL,America/Denver,Montana
Bert Mooney Airport,United States,BTM,KBTM,America/Denver,Montana
Cherry Capital Airport,United States,TVC,KTVC,America/New_York,Michigan
Knox County Regional Airport,United States,RKD,KRKD,America/New_York,Maine
Jackson Hole Airport,United States,JAC,KJAC,America/Denver,Wyoming
Chicago Rockford International Airport,United States,RFD,KRFD,America/Chicago,Illinois
Greenville Spartanburg International Airport,United States,GSP,KGSP,America/New_York,South Carolina
Central Illinois Regional Airport at Bloomington-Normal,United States,BMI,KBMI,America/Chicago,Illinois
Gulfport Biloxi International Airport,United States,GPT,KGPT,America/Chicago,Mississippi
Kalamazoo Battle Creek International Airport,United States,AZO,KAZO,America/New_York,Michigan
Toledo Express Airport,United States,TOL,KTOL,America/New_York,Ohio
Fort Wayne International Airport,United States,FWA,KFWA,America/New_York,Indiana
The Eastern Iowa Airport,United States,CID,KCID,America/Chicago,Iowa
La Crosse Municipal Airport,United States,LSE,KLSE,America/Chicago,Wisconsin
Central Wisconsin Airport,United States,CWA,KCWA,America/Chicago,Wisconsin
General Wayne A. Downing Peoria International Airport,United States,PIA,KPIA,America/Chicago,Illinois
Appleton International Airport,United States,ATW,KATW,America/Chicago,Wisconsin
Rochester International Airport,United States,RST,KRST,America/Chicago,Minnesota
